index,train_wiki40b_en,train_wiki40b_fr,train_wiki40b_de,train_wiki40b_es,train_wiki40b_it,train_wiki40b_ru
471,0.0024,0.001,0.0116,0.3882,0.0264,0.5704
472,0.0364,0.7784,0.062,0.02,0.0,0.1034
473,0.4976,0.03,0.0512,0.0312,0.035,0.355
474,0.5984,0.0,0.0064,0.0,0.1416,0.2536
475,0.4864,0.0104,0.2498,0.0032,0.0098,0.2406
476,0.6578,0.0196,0.1296,0.0002,0.0,0.1928
477,0.0012,0.0,0.0034,0.9932,0.0022,0.0
478,0.3134,0.0,0.0118,0.4804,0.1944,0.0
479,0.005,0.0038,0.9912,0.0,0.0,0.0
480,0.0718,0.023,0.2792,0.2298,0.0774,0.3188
481,0.7232,0.0126,0.1224,0.0162,0.002,0.1238
482,0.0174,0.0006,0.0,0.0,0.9794,0.0026
483,0.4052,0.0658,0.0356,0.285,0.1912,0.017
484,0.0104,0.061,0.7432,0.0282,0.1246,0.0326
485,0.8352,0.0,0.1648,0.0,0.0,0.0
486,0.008,0.0,0.9898,0.0022,0.0,0.0
487,0.174,0.2694,0.0008,0.2074,0.2386,0.1098
488,0.5132,0.2442,0.1338,0.0476,0.0192,0.0422
489,0.0,0.0,0.095,0.0,0.905,0.0
490,0.5408,0.3426,0.0408,0.0734,0.0,0.0026
491,0.3874,0.1306,0.0588,0.3858,0.022,0.0154
492,0.0,0.4582,0.5418,0.0,0.0,0.0
493,0.1448,0.0,0.8026,0.0524,0.0,0.0
494,0.0648,0.0,0.054,0.0042,0.877,0.0
495,0.3332,0.0002,0.0026,0.5308,0.0008,0.1326
496,0.9572,0.0036,0.0184,0.0208,0.0,0.0
497,0.0736,0.0044,0.0666,0.4498,0.0006,0.405
498,0.045,0.0,0.9534,0.0006,0.001,0.0
499,0.1934,0.2666,0.1526,0.1074,0.2442,0.036
500,0.012,0.4284,0.0,0.0,0.0,0.5596
501,0.9874,0.0126,0.0,0.0,0.0,0.0
502,0.494,0.0,0.0038,0.0,0.5022,0.0
503,0.0,0.001,0.0,0.0,0.999,0.0
504,0.0006,0.0,0.0,0.9926,0.0,0.0068
505,0.5062,0.0,0.0774,0.4164,0.0,0.0
506,0.0064,0.3322,0.0476,0.0052,0.051,0.5576
507,0.4318,0.0,0.1092,0.0,0.0008,0.4582
508,0.3312,0.0,0.6668,0.0,0.0022,0.0
509,0.474,0.0,0.526,0.0,0.0,0.0
510,0.3622,0.0978,0.1362,0.2726,0.0948,0.0362
511,0.0,0.876,0.0782,0.0,0.0458,0.0
512,0.0612,0.4332,0.0974,0.1792,0.0286,0.2004
